"REF_DATE","GEO","DGUID","Screened traffic","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-04","Ottawa/Macdonald-Cartier International, Ontario","","Total screened traffic","Number","223","units","0","v1573797641","76.1","200898","","","","0"
"2019-04","Ottawa/Macdonald-Cartier International, Ontario","","Total passengers","Number","223","units","0","v1577191374","76.6","196944","","","","0"
"2019-04","Ottawa/Macdonald-Cartier International, Ontario","","Domestic sector passengers","Number","223","units","0","v1573797642","76.2","149183","","","","0"
"2019-04","Ottawa/Macdonald-Cartier International, Ontario","","Transborder sector passengers","Number","223","units","0","v1573797643","76.3","33993","","","","0"
"2019-04","Ottawa/Macdonald-Cartier International, Ontario","","Other International sector passengers","Number","223","units","0","v1573797644","76.4","13768","","","","0"
"2019-04","Ottawa/Macdonald-Cartier International, Ontario","","Non-passengers","Number","223","units","0","v1573797645","76.5","3954","","","","0"
"2019-04","Toronto/Lester B Pearson International, Ontario","","Total screened traffic","Number","223","units","0","v1573797651","161.1","1667132","","","","0"
"2019-04","Toronto/Lester B Pearson International, Ontario","","Total passengers","Number","223","units","0","v1577191376","161.6","1648553","","","","0"
"2019-04","Toronto/Lester B Pearson International, Ontario","","Domestic sector passengers","Number","223","units","0","v1573797652","161.2","486006","","","","0"
"2019-04","Toronto/Lester B Pearson International, Ontario","","Transborder sector passengers","Number","223","units","0","v1573797653","161.3","598998","","","","0"
"2019-04","Toronto/Lester B Pearson International, Ontario","","Other International sector passengers","Number","223","units","0","v1573797654","161.4","563549","","","","0"
"2019-04","Toronto/Lester B Pearson International, Ontario","","Non-passengers","Number","223","units","0","v1573797655","161.5","18579","","","","0"
"2019-04","Winnipeg/James Armstrong Richardson International, Manitoba","","Total screened traffic","Number","223","units","0","v1573797656","163.1","149232","","","","0"
"2019-04","Winnipeg/James Armstrong Richardson International, Manitoba","","Total passengers","Number","223","units","0","v1577191377","163.6","147822","","","","0"
"2019-04","Winnipeg/James Armstrong Richardson International, Manitoba","","Domestic sector passengers","Number","223","units","0","v1573797657","163.2","124901","","","","0"
"2019-04","Winnipeg/James Armstrong Richardson International, Manitoba","","Transborder sector passengers","Number","223","units","0","v1573797658","163.3","20276","","","","0"
"2019-04","Winnipeg/James Armstrong Richardson International, Manitoba","","Other International sector passengers","Number","223","units","0","v1573797659","163.4","2645","","","","0"
"2019-04","Winnipeg/James Armstrong Richardson International, Manitoba","","Non-passengers","Number","223","units","0","v1573797660","163.5","1410","","","","0"
"2019-04","Calgary International, Alberta","","Total screened traffic","Number","223","units","0","v1573797626","13.1","499934","","","","0"
"2019-04","Calgary International, Alberta","","Total passengers","Number","223","units","0","v1577191371","13.6","494840","","","","0"
"2019-04","Calgary International, Alberta","","Domestic sector passengers","Number","223","units","0","v1573797627","13.2","291998","","","","0"
"2019-04","Calgary International, Alberta","","Transborder sector passengers","Number","223","units","0","v1573797628","13.3","141985","","","","0"
"2019-04","Calgary International, Alberta","","Other International sector passengers","Number","223","units","0","v1573797629","13.4","60857","","","","0"
"2019-04","Calgary International, Alberta","","Non-passengers","Number","223","units","0","v1573797630","13.5","5094","","","","0"
"2019-04","Edmonton International, Alberta","","Total screened traffic","Number","223","units","0","v1573797636","52.1","284077","","","","0"
"2019-04","Edmonton International, Alberta","","Total passengers","Number","223","units","0","v1577191373","52.6","277843","","","","0"
"2019-04","Edmonton International, Alberta","","Domestic sector passengers","Number","223","units","0","v1573797637","52.2","212260","","","","0"
"2019-04","Edmonton International, Alberta","","Transborder sector passengers","Number","223","units","0","v1573797638","52.3","43179","","","","0"
"2019-04","Edmonton International, Alberta","","Other International sector passengers","Number","223","units","0","v1573797639","52.4","22404","","","","0"
"2019-04","Edmonton International, Alberta","","Non-passengers","Number","223","units","0","v1573797640","52.5","6234","","","","0"
"2019-04","Vancouver International, British Columbia","","Total screened traffic","Number","223","units","0","v1573797661","169.1","817258","","","","0"
"2019-04","Vancouver International, British Columbia","","Total passengers","Number","223","units","0","v1577191378","169.6","806737","","","","0"
"2019-04","Vancouver International, British Columbia","","Domestic sector passengers","Number","223","units","0","v1573797662","169.2","352170","","","","0"
"2019-04","Vancouver International, British Columbia","","Transborder sector passengers","Number","223","units","0","v1573797663","169.3","257382","","","","0"
"2019-04","Vancouver International, British Columbia","","Other International sector passengers","Number","223","units","0","v1573797664","169.4","197185","","","","0"
